timestamp,channel,temp
1.4313228130340576,TEMP108,20
1.4313228130340576,TEMP109,20
1.4313228130340576,TEMP110,20
1.4313228130340576,TEMP111,120
1.4313228130340576,TEMP112,120
1.4313228130340576,TEMP113,19
1.4313228130340576,TEMP114,20
1.7812519073486328,TEMP115,20
1.7812519073486328,TEMP116,20
1.7812519073486328,TEMP117,20
1.7812519073486328,TEMP118,20
1.7812519073486328,TEMP201,19
1.7812519073486328,TEMP202,120
1.7812519073486328,TEMP203,120
2.1313700675964355,TEMP204,19
2.1313700675964355,TEMP205,20
2.1313700675964355,TEMP206,20
2.1313700675964355,TEMP207,20
2.1313700675964355,TEMP208,20
2.1313700675964355,TEMP209,120
2.1313700675964355,TEMP210,19
2.4811248779296875,TEMP211,120
2.4811248779296875,TEMP212,120
2.4811248779296875,TEMP213,120
2.4811248779296875,TEMP214,120
2.4811248779296875,TEMP215,120
2.4811248779296875,TEMP216,120
2.4811248779296875,TEMP217,120
2.831347942352295,TEMP218,20
2.831347942352295,TEMP301,19
2.831347942352295,TEMP302,20
2.831347942352295,TEMP303,20
2.831347942352295,TEMP304,20
2.831347942352295,TEMP305,20
2.831347942352295,TEMP306,20
3.1812920570373535,TEMP307,20
3.1812920570373535,TEMP308,20
3.1812920570373535,TEMP309,20
3.1812920570373535,TEMP310,20
3.1812920570373535,TEMP311,120
3.1812920570373535,TEMP312,20
3.1812920570373535,TEMP313,20
3.531406879425049,TEMP314,20
3.531406879425049,TEMP315,20
3.531406879425049,TEMP316,20
3.531406879425049,TEMP317,20
3.531406879425049,TEMP318,20
3.531406879425049,TEMP401,20
3.531406879425049,TEMP402,20
3.881309986114502,TEMP403,20
3.881309986114502,TEMP404,20
3.881309986114502,TEMP405,20
3.881309986114502,TEMP406,20
3.881309986114502,TEMP407,20
3.881309986114502,TEMP408,20
3.881309986114502,TEMP409,20
4.235142946243286,TEMP410,20
4.235142946243286,TEMP411,120
4.235142946243286,TEMP412,120
4.235142946243286,TEMP413,20
4.235142946243286,TEMP414,20
4.235142946243286,TEMP415,21
4.235142946243286,TEMP416,20
4.585129022598267,TEMP417,20
4.585129022598267,TEMP418,20
4.585129022598267,TEMP501,20
4.585129022598267,TEMP502,20
4.585129022598267,TEMP503,21
4.585129022598267,TEMP504,20
4.585129022598267,TEMP505,21
4.935335874557495,TEMP506,21
4.935335874557495,TEMP507,20
4.935335874557495,TEMP508,20
4.935335874557495,TEMP509,20
4.935335874557495,TEMP510,21
4.935335874557495,TEMP511,20
