timestamp,voltage
2.3024981021881104,1.9
2.3024981021881104,1.89
2.3024981021881104,1.88
2.3024981021881104,1.87
2.3024981021881104,1.87
2.3024981021881104,1.88
2.3024981021881104,1.88
2.302846908569336,1.88
2.302846908569336,1.89
2.302846908569336,1.88
2.302846908569336,1.88
2.302846908569336,1.87
2.302846908569336,1.87
2.302846908569336,1.88
2.3032138347625732,1.89
2.3032138347625732,1.89
2.3032138347625732,1.88
2.3032138347625732,1.87
2.3032138347625732,1.87
2.3032138347625732,1.88
2.3032138347625732,1.88
2.3035950660705566,1.88
2.3035950660705566,1.89
2.3035950660705566,1.88
2.3035950660705566,1.88
2.3035950660705566,1.87
2.3035950660705566,1.87
2.3035950660705566,1.88
2.304003953933716,1.89
2.304003953933716,1.89
2.304003953933716,1.88
2.304003953933716,1.87
2.304003953933716,1.87
2.304003953933716,1.88
2.304003953933716,1.88
2.308616876602173,1.89
2.308616876602173,1.89
2.308616876602173,1.88
2.308616876602173,1.87
2.308616876602173,1.88
2.308616876602173,1.88
2.308616876602173,1.88
2.309135913848877,1.89
2.309135913848877,1.89
2.309135913848877,1.88
2.309135913848877,1.87
2.309135913848877,1.87
2.309135913848877,1.87
2.309135913848877,1.88
2.309378147125244,1.89
2.309378147125244,1.89
2.309378147125244,1.88
2.309378147125244,1.87
2.309378147125244,1.88
2.309378147125244,1.88
2.309378147125244,1.88
2.3099148273468018,1.89
2.3099148273468018,1.89
2.3099148273468018,1.88
2.3099148273468018,1.87
2.3099148273468018,1.87
2.3099148273468018,1.87
2.3099148273468018,1.88
2.310231924057007,1.89
2.310231924057007,1.89
2.310231924057007,1.88
2.310231924057007,1.87
2.310231924057007,1.88
2.310231924057007,1.87
2.310231924057007,1.88
2.310504913330078,1.89
2.310504913330078,1.89
2.310504913330078,1.88
2.310504913330078,1.87
2.310504913330078,1.87
2.310504913330078,1.88
2.310504913330078,1.88
2.3108718395233154,1.89
2.3108718395233154,1.89
2.3108718395233154,1.88
2.3108718395233154,1.88
2.3108718395233154,1.88
2.3108718395233154,1.88
2.3108718395233154,1.88
2.31124210357666,1.89
2.31124210357666,1.89
2.31124210357666,1.88
2.31124210357666,1.88
2.31124210357666,1.87
2.31124210357666,1.87
2.31124210357666,1.88
2.3116188049316406,1.89
2.3116188049316406,1.89
2.3116188049316406,1.88
2.3116188049316406,1.87
2.3116188049316406,1.88
2.3116188049316406,1.87
2.3116188049316406,1.88
2.3120079040527344,1.89
2.3120079040527344,1.89
2.3120079040527344,1.88
2.3120079040527344,1.87
2.3120079040527344,1.87
2.3120079040527344,1.89
2.3120079040527344,1.88
2.3123867511749268,1.88
2.3123867511749268,1.89
2.3123867511749268,1.88
2.3123867511749268,1.88
2.3123867511749268,1.88
2.3123867511749268,1.88
2.3123867511749268,1.88
2.3127498626708984,1.89
2.3127498626708984,1.89
2.3127498626708984,1.88
2.3127498626708984,1.87
2.3127498626708984,1.87
2.3127498626708984,1.88
2.3127498626708984,1.88
2.3131449222564697,1.88
2.3131449222564697,1.89
2.3131449222564697,1.88
2.3131449222564697,1.88
2.3131449222564697,1.88
2.3131449222564697,1.87
2.3131449222564697,1.87
2.313508987426758,1.89
2.313508987426758,1.89
2.313508987426758,1.88
2.313508987426758,1.87
2.313508987426758,1.87
2.313508987426758,1.88
2.313508987426758,1.88
2.3138980865478516,1.89
2.3138980865478516,1.89
2.3138980865478516,1.88
2.3138980865478516,1.88
2.3138980865478516,1.88
2.3138980865478516,1.87
2.3138980865478516,1.87
2.314405918121338,1.89
2.314405918121338,1.89
2.314405918121338,1.88
2.314405918121338,1.87
2.314405918121338,1.87
2.314405918121338,1.88
2.314405918121338,1.88
2.3146708011627197,1.88
2.3146708011627197,1.88
2.3146708011627197,1.88
2.3146708011627197,1.87
2.3146708011627197,1.88
2.3146708011627197,1.87
2.3146708011627197,1.87
2.3152220249176025,1.89
2.3152220249176025,1.89
2.3152220249176025,1.88
2.3152220249176025,1.87
2.3152220249176025,1.87
2.3152220249176025,1.88
2.3152220249176025,1.88
2.3154361248016357,1.88
2.3154361248016357,1.89
2.3154361248016357,1.88
2.3154361248016357,1.88
2.3154361248016357,1.87
2.3154361248016357,1.87
2.3154361248016357,1.87
2.3159639835357666,1.89
2.3159639835357666,1.89
2.3159639835357666,1.88
2.3159639835357666,1.87
2.3159639835357666,1.87
2.3159639835357666,1.88
2.3159639835357666,1.88
2.316220998764038,1.88
2.316220998764038,1.89
2.316220998764038,1.89
2.316220998764038,1.88
2.316220998764038,1.87
2.316220998764038,1.87
2.316220998764038,1.88
2.320594072341919,1.89
2.320594072341919,1.89
2.320594072341919,1.88
2.320594072341919,1.88
2.320594072341919,1.88
2.320594072341919,1.88
2.320594072341919,1.88
2.320868968963623,1.89
2.320868968963623,1.89
2.320868968963623,1.88
2.320868968963623,1.87
2.320868968963623,1.87
2.320868968963623,1.87
2.320868968963623,1.88
2.3212060928344727,1.89
2.3212060928344727,1.89
2.3212060928344727,1.88
2.3212060928344727,1.87
2.3212060928344727,1.88
2.3212060928344727,1.88
2.3212060928344727,1.87
2.321526050567627,1.89
2.321526050567627,1.89
2.321526050567627,1.88
2.321526050567627,1.87
2.321526050567627,1.87
2.321526050567627,1.87
2.321526050567627,1.88
2.3219120502471924,1.89
2.3219120502471924,1.89
2.3219120502471924,1.88
2.3219120502471924,1.88
2.3219120502471924,1.88
2.3219120502471924,1.88
2.3219120502471924,1.88
2.3224070072174072,1.89
2.3224070072174072,1.89
2.3224070072174072,1.88
2.3224070072174072,1.87
2.3224070072174072,1.87
2.3224070072174072,1.88
2.3224070072174072,1.88
2.3226819038391113,1.89
2.3226819038391113,1.89
2.3226819038391113,1.88
2.3226819038391113,1.88
2.3226819038391113,1.88
2.3226819038391113,1.88
2.3226819038391113,1.87
2.323202133178711,1.89
2.323202133178711,1.89
2.323202133178711,1.88
2.323202133178711,1.87
2.323202133178711,1.87
2.323202133178711,1.88
2.323202133178711,1.88
2.3234481811523438,1.88
2.3234481811523438,1.89
2.3234481811523438,1.88
2.3234481811523438,1.88
2.3234481811523438,1.88
2.3234481811523438,1.87
2.3234481811523438,1.87
2.3238229751586914,1.89
2.3238229751586914,1.89
2.3238229751586914,1.88
2.3238229751586914,1.87
2.3238229751586914,1.87
2.3238229751586914,1.87
2.3238229751586914,1.88
2.324202060699463,1.89
2.324202060699463,1.89
2.324202060699463,1.88
2.324202060699463,1.88
2.324202060699463,1.88
2.324202060699463,1.88
2.324202060699463,1.87
2.3245880603790283,1.89
2.3245880603790283,1.89
2.3245880603790283,1.88
2.3245880603790283,1.87
2.3245880603790283,1.87
2.3245880603790283,1.87
2.3245880603790283,1.88
2.324982166290283,1.89
2.324982166290283,1.89
2.324982166290283,1.88
2.324982166290283,1.88
2.324982166290283,1.88
2.324982166290283,1.88
2.324982166290283,1.87
2.3253891468048096,1.89
2.3253891468048096,1.89
2.3253891468048096,1.88
2.3253891468048096,1.87
2.3253891468048096,1.87
2.3253891468048096,1.88
2.3253891468048096,1.88
2.3257510662078857,1.88
2.3257510662078857,1.89
2.3257510662078857,1.88
2.3257510662078857,1.88
2.3257510662078857,1.88
2.3257510662078857,1.87
2.3257510662078857,1.88
2.326122999191284,1.89
2.326122999191284,1.89
2.326122999191284,1.88
2.326122999191284,1.87
2.326122999191284,1.87
2.326122999191284,1.88
2.326122999191284,1.88
2.32650089263916,1.89
2.32650089263916,1.89
2.32650089263916,1.88
2.32650089263916,1.88
2.32650089263916,1.87
2.32650089263916,1.87
2.32650089263916,1.87
2.3268990516662598,1.89
2.3268990516662598,1.89
2.3268990516662598,1.88
2.3268990516662598,1.87
2.3268990516662598,1.87
2.3268990516662598,1.88
2.3268990516662598,1.88
2.3272619247436523,1.88
2.3272619247436523,1.89
2.3272619247436523,1.88
2.3272619247436523,1.88
2.3272619247436523,1.87
2.3272619247436523,1.87
2.3272619247436523,1.87
2.3276360034942627,1.89
2.3276360034942627,1.89
2.3276360034942627,1.88
2.3276360034942627,1.87
2.3276360034942627,1.87
2.3276360034942627,1.88
2.3276360034942627,1.88
2.3280200958251953,1.89
2.3280200958251953,1.89
2.3280200958251953,1.88
2.3280200958251953,1.87
2.3280200958251953,1.87
2.3280200958251953,1.87
2.3280200958251953,1.87
4.756454944610596,1.9
4.756454944610596,1.89
4.756454944610596,1.87
4.756454944610596,1.87
4.756454944610596,1.87
4.756454944610596,1.88
4.756454944610596,1.88
4.756819009780884,1.88
4.756819009780884,1.89
4.756819009780884,1.88
4.756819009780884,1.88
4.756819009780884,1.87
4.756819009780884,1.87
4.756819009780884,1.88
4.7572290897369385,1.89
4.7572290897369385,1.89
4.7572290897369385,1.88
4.7572290897369385,1.87
4.7572290897369385,1.87
4.7572290897369385,1.88
4.7572290897369385,1.88
4.757578134536743,1.88
4.757578134536743,1.89
4.757578134536743,1.88
4.757578134536743,1.88
4.757578134536743,1.87
4.757578134536743,1.87
4.757578134536743,1.87
4.75794792175293,1.89
4.75794792175293,1.89
4.75794792175293,1.88
4.75794792175293,1.87
4.75794792175293,1.87
4.75794792175293,1.88
4.75794792175293,1.88
4.762541770935059,1.89
4.762541770935059,1.89
4.762541770935059,1.88
4.762541770935059,1.87
4.762541770935059,1.87
4.762541770935059,1.87
4.762541770935059,1.88
4.7630510330200195,1.89
4.7630510330200195,1.89
4.7630510330200195,1.88
4.7630510330200195,1.87
4.7630510330200195,1.88
4.7630510330200195,1.88
4.7630510330200195,1.88
4.763331890106201,1.89
4.763331890106201,1.89
4.763331890106201,1.88
4.763331890106201,1.87
4.763331890106201,1.87
4.763331890106201,1.87
4.763331890106201,1.88
4.763673782348633,1.89
4.763673782348633,1.89
4.763673782348633,1.88
4.763673782348633,1.87
4.763673782348633,1.88
4.763673782348633,1.88
4.763673782348633,1.88
4.764046907424927,1.89
4.764046907424927,1.89
4.764046907424927,1.88
4.764046907424927,1.87
4.764046907424927,1.87
4.764046907424927,1.87
4.764046907424927,1.88
4.764449119567871,1.89
4.764449119567871,1.89
4.764449119567871,1.88
4.764449119567871,1.87
4.764449119567871,1.88
4.764449119567871,1.88
4.764449119567871,1.88
4.764817953109741,1.89
4.764817953109741,1.89
4.764817953109741,1.88
4.764817953109741,1.88
4.764817953109741,1.87
4.764817953109741,1.87
4.764817953109741,1.88
4.7652428150177,1.89
4.7652428150177,1.89
4.7652428150177,1.88
4.7652428150177,1.87
4.7652428150177,1.87
