timestamp,channel,temp
1.3987388610839844,TEMP211,120
1.3987388610839844,TEMP212,120
1.3987388610839844,TEMP213,120
1.3987388610839844,TEMP214,120
1.3987388610839844,TEMP215,120
1.3987388610839844,TEMP216,120
1.3987388610839844,TEMP217,120
1.5894699096679688,TEMP218,19
1.5894699096679688,TEMP301,18
1.5894699096679688,TEMP302,19
1.5894699096679688,TEMP303,19
1.5894699096679688,TEMP304,19
1.5894699096679688,TEMP305,19
1.5894699096679688,TEMP306,19
1.7802379131317139,TEMP307,19
1.7802379131317139,TEMP308,19
1.7802379131317139,TEMP309,19
1.7802379131317139,TEMP310,19
1.7802379131317139,TEMP311,120
1.7802379131317139,TEMP312,19
1.7802379131317139,TEMP313,19
1.9715299606323242,TEMP314,19
1.9715299606323242,TEMP315,19
1.9715299606323242,TEMP316,19
1.9715299606323242,TEMP317,19
1.9715299606323242,TEMP318,19
1.9715299606323242,TEMP401,19
1.9715299606323242,TEMP402,19
2.1627657413482666,TEMP403,19
2.1627657413482666,TEMP404,19
2.1627657413482666,TEMP405,19
2.1627657413482666,TEMP406,19
2.1627657413482666,TEMP407,19
2.1627657413482666,TEMP408,19
2.1627657413482666,TEMP409,19
2.3567559719085693,TEMP410,19
2.3567559719085693,TEMP411,120
2.3567559719085693,TEMP412,120
2.3567559719085693,TEMP413,19
2.3567559719085693,TEMP414,19
2.3567559719085693,TEMP415,22
2.3567559719085693,TEMP416,19
2.548274040222168,TEMP417,19
2.548274040222168,TEMP418,19
2.548274040222168,TEMP501,19
2.548274040222168,TEMP502,19
2.548274040222168,TEMP503,19
2.548274040222168,TEMP504,19
2.548274040222168,TEMP505,19
2.7394859790802,TEMP506,19
2.7394859790802,TEMP507,19
2.7394859790802,TEMP508,19
2.7394859790802,TEMP509,19
2.7394859790802,TEMP510,19
2.7394859790802,TEMP511,19
2.7394859790802,TEMP512,19
3.0947930812835693,TEMP101,19
3.0947930812835693,TEMP102,19
3.0947930812835693,TEMP103,19
3.0947930812835693,TEMP104,19
3.0947930812835693,TEMP105,19
3.0947930812835693,TEMP106,19
3.0947930812835693,TEMP107,19
3.284792184829712,TEMP108,19
3.284792184829712,TEMP109,19
3.284792184829712,TEMP110,19
3.284792184829712,TEMP111,120
3.284792184829712,TEMP112,120
3.284792184829712,TEMP113,18
3.284792184829712,TEMP114,19
3.475383996963501,TEMP115,19
3.475383996963501,TEMP116,19
3.475383996963501,TEMP117,19
3.475383996963501,TEMP118,19
3.475383996963501,TEMP201,18
3.475383996963501,TEMP202,120
3.475383996963501,TEMP203,120
3.6654648780822754,TEMP204,18
3.6654648780822754,TEMP205,19
3.6654648780822754,TEMP206,19
3.6654648780822754,TEMP207,18
3.6654648780822754,TEMP208,19
3.6654648780822754,TEMP209,120
3.6654648780822754,TEMP210,18
3.852842092514038,TEMP211,120
3.852842092514038,TEMP212,120
3.852842092514038,TEMP213,120
3.852842092514038,TEMP214,120
3.852842092514038,TEMP215,120
3.852842092514038,TEMP216,120
3.852842092514038,TEMP217,120
4.043442010879517,TEMP218,19
4.043442010879517,TEMP301,18
4.043442010879517,TEMP302,19
4.043442010879517,TEMP303,19
4.043442010879517,TEMP304,19
4.043442010879517,TEMP305,19
4.043442010879517,TEMP306,19
4.234327793121338,TEMP307,19
4.234327793121338,TEMP308,19
4.234327793121338,TEMP309,19
4.234327793121338,TEMP310,19
4.234327793121338,TEMP311,120
4.234327793121338,TEMP312,19
4.234327793121338,TEMP313,19
4.4254539012908936,TEMP314,19
4.4254539012908936,TEMP315,19
4.4254539012908936,TEMP316,19
