timestamp,channel,temp
1.5703511238098145,TEMP101,19
1.5703511238098145,TEMP102,19
1.5703511238098145,TEMP103,19
1.5703511238098145,TEMP104,19
1.5703511238098145,TEMP105,19
1.5703511238098145,TEMP106,19
1.5703511238098145,TEMP107,19
1.7603111267089844,TEMP108,19
1.7603111267089844,TEMP109,19
1.7603111267089844,TEMP110,19
1.7603111267089844,TEMP111,120
1.7603111267089844,TEMP112,120
1.7603111267089844,TEMP113,18
1.7603111267089844,TEMP114,19
1.950944185256958,TEMP115,19
1.950944185256958,TEMP116,19
1.950944185256958,TEMP117,19
1.950944185256958,TEMP118,19
1.950944185256958,TEMP201,19
1.950944185256958,TEMP202,120
1.950944185256958,TEMP203,120
2.1409718990325928,TEMP204,19
2.1409718990325928,TEMP205,19
2.1409718990325928,TEMP206,19
2.1409718990325928,TEMP207,19
2.1409718990325928,TEMP208,19
2.1409718990325928,TEMP209,120
2.1409718990325928,TEMP210,19
2.3282432556152344,TEMP211,120
2.3282432556152344,TEMP212,120
2.3282432556152344,TEMP213,120
2.3282432556152344,TEMP214,120
2.3282432556152344,TEMP215,120
2.3282432556152344,TEMP216,120
2.3282432556152344,TEMP217,120
2.518968105316162,TEMP218,20
2.518968105316162,TEMP301,19
2.518968105316162,TEMP302,19
2.518968105316162,TEMP303,19
2.518968105316162,TEMP304,19
2.518968105316162,TEMP305,19
2.518968105316162,TEMP306,19
2.70963716506958,TEMP307,19
2.70963716506958,TEMP308,19
2.70963716506958,TEMP309,19
2.70963716506958,TEMP310,20
2.70963716506958,TEMP311,120
2.70963716506958,TEMP312,20
2.70963716506958,TEMP313,19
2.900991916656494,TEMP314,20
2.900991916656494,TEMP315,19
2.900991916656494,TEMP316,20
2.900991916656494,TEMP317,20
2.900991916656494,TEMP318,19
2.900991916656494,TEMP401,20
2.900991916656494,TEMP402,20
3.092313051223755,TEMP403,21
3.092313051223755,TEMP404,20
3.092313051223755,TEMP405,20
3.092313051223755,TEMP406,20
3.092313051223755,TEMP407,20
3.092313051223755,TEMP408,20
3.092313051223755,TEMP409,20
3.286281108856201,TEMP410,19
3.286281108856201,TEMP411,120
3.286281108856201,TEMP412,120
3.286281108856201,TEMP413,19
3.286281108856201,TEMP414,20
3.286281108856201,TEMP415,23
3.286281108856201,TEMP416,19
3.4776320457458496,TEMP417,20
3.4776320457458496,TEMP418,19
3.4776320457458496,TEMP501,19
3.4776320457458496,TEMP502,19
3.4776320457458496,TEMP503,20
3.4776320457458496,TEMP504,19
3.4776320457458496,TEMP505,20
3.668978214263916,TEMP506,20
3.668978214263916,TEMP507,19
3.668978214263916,TEMP508,20
3.668978214263916,TEMP509,20
3.668978214263916,TEMP510,20
3.668978214263916,TEMP511,20
3.668978214263916,TEMP512,20
4.0243000984191895,TEMP101,19
4.0243000984191895,TEMP102,19
4.0243000984191895,TEMP103,19
4.0243000984191895,TEMP104,19
4.0243000984191895,TEMP105,19
4.0243000984191895,TEMP106,19
4.0243000984191895,TEMP107,19
4.214306116104126,TEMP108,19
4.214306116104126,TEMP109,19
4.214306116104126,TEMP110,19
4.214306116104126,TEMP111,120
4.214306116104126,TEMP112,120
4.214306116104126,TEMP113,18
4.214306116104126,TEMP114,19
4.404921054840088,TEMP115,19
4.404921054840088,TEMP116,19
4.404921054840088,TEMP117,19
4.404921054840088,TEMP118,19
4.404921054840088,TEMP201,19
4.404921054840088,TEMP202,120
4.404921054840088,TEMP203,120
4.594955921173096,TEMP204,19
4.594955921173096,TEMP205,19
4.594955921173096,TEMP206,19
4.594955921173096,TEMP207,19
4.594955921173096,TEMP208,19
4.594955921173096,TEMP209,120
4.594955921173096,TEMP210,19
4.782266139984131,TEMP211,120
4.782266139984131,TEMP212,120
4.782266139984131,TEMP213,120
4.782266139984131,TEMP214,120
4.782266139984131,TEMP215,120
4.782266139984131,TEMP216,120
4.782266139984131,TEMP217,120
4.972957134246826,TEMP218,20
4.972957134246826,TEMP301,19
4.972957134246826,TEMP302,19
4.972957134246826,TEMP303,19
4.972957134246826,TEMP304,19
4.972957134246826,TEMP305,19
4.972957134246826,TEMP306,19
5.163600206375122,TEMP307,19
5.163600206375122,TEMP308,19
5.163600206375122,TEMP309,19
5.163600206375122,TEMP310,20
5.163600206375122,TEMP311,120
5.163600206375122,TEMP312,20
5.163600206375122,TEMP313,19
5.354942083358765,TEMP314,20
5.354942083358765,TEMP315,19
5.354942083358765,TEMP316,20
5.354942083358765,TEMP317,20
5.354942083358765,TEMP318,19
5.354942083358765,TEMP401,20
5.354942083358765,TEMP402,20
5.546266078948975,TEMP403,20
5.546266078948975,TEMP404,20
5.546266078948975,TEMP405,20
5.546266078948975,TEMP406,20
5.546266078948975,TEMP407,20
5.546266078948975,TEMP408,20
5.546266078948975,TEMP409,20
5.74028205871582,TEMP410,19
5.74028205871582,TEMP411,120
5.74028205871582,TEMP412,120
5.74028205871582,TEMP413,19
5.74028205871582,TEMP414,20
5.74028205871582,TEMP415,23
5.74028205871582,TEMP416,19
5.9317522048950195,TEMP417,20
5.9317522048950195,TEMP418,19
5.9317522048950195,TEMP501,19
5.9317522048950195,TEMP502,19
5.9317522048950195,TEMP503,20
5.9317522048950195,TEMP504,19
5.9317522048950195,TEMP505,20
6.122942209243774,TEMP506,20
6.122942209243774,TEMP507,19
6.122942209243774,TEMP508,19
6.122942209243774,TEMP509,20
6.122942209243774,TEMP510,20
6.122942209243774,TEMP511,20
6.122942209243774,TEMP512,20
6.478334188461304,TEMP101,19
6.478334188461304,TEMP102,19
6.478334188461304,TEMP103,19
6.478334188461304,TEMP104,19
6.478334188461304,TEMP105,19
6.478334188461304,TEMP106,19
6.478334188461304,TEMP107,19
6.668284177780151,TEMP108,19
6.668284177780151,TEMP109,19
6.668284177780151,TEMP110,19
6.668284177780151,TEMP111,120
6.668284177780151,TEMP112,120
6.668284177780151,TEMP113,18
6.668284177780151,TEMP114,19
6.8588902950286865,TEMP115,19
6.8588902950286865,TEMP116,19
6.8588902950286865,TEMP117,19
6.8588902950286865,TEMP118,19
6.8588902950286865,TEMP201,19
6.8588902950286865,TEMP202,120
6.8588902950286865,TEMP203,120
7.048935174942017,TEMP204,19
7.048935174942017,TEMP205,19
7.048935174942017,TEMP206,19
7.048935174942017,TEMP207,19
7.048935174942017,TEMP208,19
7.048935174942017,TEMP209,120
7.048935174942017,TEMP210,19
7.23621392250061,TEMP211,120
7.23621392250061,TEMP212,120
7.23621392250061,TEMP213,120
7.23621392250061,TEMP214,120
7.23621392250061,TEMP215,120
7.23621392250061,TEMP216,120
7.23621392250061,TEMP217,120
7.426944971084595,TEMP218,20
7.426944971084595,TEMP301,19
7.426944971084595,TEMP302,19
