timestamp,dlc,motor_torque
0.34398984909057617,8,0
0.3441309928894043,8,0
0.34421610832214355,8,0
0.3442389965057373,8,0
0.3442728519439697,8,0
0.34429407119750977,8,0
0.3443260192871094,8,0
0.34435200691223145,8,0
0.3443729877471924,8,0
0.3444070816040039,8,0
0.34442806243896484,8,0
0.34446001052856445,8,0
0.3444809913635254,8,0
0.3445110321044922,8,0
0.34453701972961426,8,0
0.34456396102905273,8,0
0.3445899486541748,8,0
0.3446199893951416,8,0
0.34464502334594727,8,0
0.3446619510650635,8,0
0.34468984603881836,8,0
0.3468608856201172,8,0
0.3588590621948242,8,0
0.3708920478820801,8,0
0.38285303115844727,8,0
0.39487576484680176,8,0
0.4068641662597656,8,0
0.41886305809020996,8,0
0.43088603019714355,8,0
0.44287991523742676,8,0
0.45484495162963867,8,0
0.4668710231781006,8,0
0.47895193099975586,8,0
0.4908320903778076,8,0
0.502795934677124,8,0
0.5148029327392578,8,0
0.5268089771270752,8,0
0.5388138294219971,8,0
0.5508279800415039,8,0
0.5628688335418701,8,0
0.5749239921569824,8,0
0.5868580341339111,8,0
0.5988631248474121,8,0
0.6110539436340332,8,0
0.622931957244873,8,0
0.6349880695343018,8,0
0.646918773651123,8,0
0.6589140892028809,8,0
0.6709280014038086,8,0
0.6829290390014648,8,0
0.6949670314788818,8,0
0.7069728374481201,8,0
0.7189087867736816,8,0
0.7311711311340332,8,0
0.7429070472717285,8,0
0.7549078464508057,8,0
0.766913890838623,8,0
0.7789099216461182,8,0
0.7909078598022461,8,0
0.8028531074523926,8,0
0.8148930072784424,8,0
0.8268940448760986,8,0
0.8388979434967041,8,0
0.8508899211883545,8,0
0.8628971576690674,8,0
0.8749151229858398,8,0
0.8868861198425293,8,0
0.8989071846008301,8,0
0.9109060764312744,8,0
0.9228968620300293,8,0
0.9348909854888916,8,0
0.9468929767608643,8,0
0.9588840007781982,8,0
0.9708700180053711,8,0
0.9829699993133545,8,0
0.9948968887329102,8,0
1.0068349838256836,8,0
1.018874168395996,8,0
