timestamp,high,low,faults
0.3441760540008545,27,21,1
0.3443450927734375,27,21,3
0.34439897537231445,27,21,3
0.3445279598236084,27,20,3
0.34458208084106445,27,20,3
0.3446388244628906,27,20,3
0.3638031482696533,27,20,3
0.39107203483581543,27,20,4
0.4731440544128418,27,20,5
0.5005979537963867,27,20,5
0.5550718307495117,27,20,5
0.582456111907959,27,20,6
0.609795093536377,27,20,6
0.6645398139953613,27,20,8
0.6916890144348145,27,20,9
0.7464239597320557,27,20,11
0.7737259864807129,27,20,12
0.8010549545288086,27,20,13
0.855787992477417,27,20,13
0.8831191062927246,27,20,13
0.9651179313659668,27,20,13
0.9924459457397461,27,20,13
1.0470890998840332,27,20,13
1.074465036392212,27,20,13
1.1017751693725586,27,20,13
1.1565608978271484,27,20,14
1.18379807472229,27,20,14
1.2658019065856934,27,20,14
1.2931041717529297,27,20,14
1.3477659225463867,27,20,14
1.3751139640808105,27,20,14
1.4571068286895752,27,20,14
1.4844260215759277,27,20,14
1.539153814315796,27,20,14
1.5664429664611816,27,20,14
1.593768835067749,27,20,14
1.6485600471496582,27,20,16
1.6757709980010986,27,20,16
1.7343730926513672,27,20,16
1.7620840072631836,27,20,16
1.8166708946228027,27,20,16
1.8437139987945557,27,20,16
1.9257609844207764,27,20,16
1.953117847442627,27,20,16
2.007765054702759,27,20,16
2.0350799560546875,27,20,16
2.1170737743377686,27,20,16
2.1444549560546875,27,20,16
2.199068784713745,27,20,16
2.2264769077301025,27,20,16
2.2537479400634766,27,20,16
2.3088040351867676,27,20,16
2.3357739448547363,28,28,0
2.3904380798339844,28,21,0
2.4177520275115967,28,21,0
2.4450931549072266,28,21,0
2.4998059272766113,28,21,0
2.5270891189575195,28,21,0
2.6089999675750732,28,21,2
2.6363470554351807,28,21,3
2.6910641193389893,28,21,3
2.7184507846832275,28,21,3
2.7457449436187744,28,21,3
2.8005619049072266,28,21,3
2.827728033065796,28,20,3
2.9097368717193604,28,20,5
2.937074899673462,28,20,5
2.9917469024658203,28,20,5
3.0190577507019043,28,20,5
3.046353816986084,28,20,6
3.1010019779205322,28,20,7
3.128337860107422,28,20,8
3.1829779148101807,28,20,10
3.2102880477905273,28,20,11
3.2649879455566406,28,20,13
3.2925939559936523,28,20,13
3.3744499683380127,28,20,13
3.429046869277954,28,20,13
3.4564599990844727,28,20,13
3.4837141036987305,28,20,13
3.6204421520233154,28,20,14
3.647722005844116,28,20,14
3.7024149894714355,28,20,14
3.7297210693359375,28,20,14
3.7844409942626953,28,20,14
3.866420030593872,28,20,14
3.9210517406463623,28,20,14
3.9484329223632812,28,20,14
3.975739002227783,28,20,14
4.030409812927246,28,20,14
4.057714939117432,28,20,14
4.1123268604278564,28,20,16
4.167036771774292,28,20,16
4.198360919952393,28,20,16
4.225661993026733,28,20,16
4.280380964279175,28,20,16
4.335046052932739,28,20,16
4.362390995025635,28,20,16
4.389709949493408,28,20,16
4.417223930358887,28,20,16
4.471750974655151,28,20,16
4.526366949081421,28,20,16
4.553680896759033,28,20,16
4.581045866012573,28,20,16
4.635693073272705,28,20,16
4.663024187088013,28,20,16
4.717681169509888,28,20,16
4.772417068481445,28,20,16
4.827127933502197,27,21,0
4.854365825653076,27,21,0
4.881695032119751,27,21,0
4.963699817657471,27,21,0
5.018371105194092,27,21,0
5.045568943023682,27,21,1
5.07305383682251,27,21,2
5.12778902053833,27,21,3
5.155068874359131,27,21,3
5.209681749343872,27,21,3
5.2644360065460205,27,21,3
5.318948984146118,27,20,4
5.346297979354858,27,20,5
5.37373685836792,27,20,5
5.401237964630127,27,20,5
5.455699920654297,27,20,5
5.510291814804077,27,20,6
5.537654876708984,27,20,6
5.565001964569092,27,20,7
5.619592905044556,27,20,9
5.646897077560425,27,20,10
5.674444913864136,27,20,11
5.701681852340698,27,20,12
5.756338834762573,27,20,13
5.811100959777832,27,20,13
5.83833909034729,27,20,13
